year,month,Gün,H,Güneşlenme Süresi (Saat) S,"Gün
 Uzunlugu (saat) So",H0,SoverS0,HoverH0,date
2022.0,6.0,15.5,3638.3133333333335,9.646666666666667,14.653822207724305,11582.944982952517,0.6583251785611887,0.3140355586478877,2022-06-01
2022.0,7.0,16.0,4398.2806451612905,9.193548387096774,14.39709394115621,11292.394583301477,0.6386984976535353,0.3895441307213609,2022-07-01
2022.0,8.0,16.0,3640.1612903225805,9.041935483870969,13.456584576029455,10188.067681352246,0.671917114119091,0.357090688721399,2022-08-01
2022.0,9.0,15.5,2997.3344444444447,6.073333333333333,12.21350704361449,8432.324828742729,0.49723939395450195,0.35532813300878985,2022-09-01
2022.0,10.0,16.0,2071.6451612903224,5.270967741935484,10.932255411872108,6414.155113892544,0.48215239044912694,0.32215072069628564,2022-10-01
2022.0,11.0,15.5,1181.425,4.526666666666667,9.860566449503073,4772.888338646696,0.4587904729217233,0.24400920761748907,2022-11-01
2022.0,12.0,16.0,1000.4983870967742,2.416129032258065,9.343728319050784,4052.135144452065,0.25855333306865746,0.24740098393175758,2022-12-01
2023.0,1.0,16.0,1347.5548387096774,2.383870967741936,9.635298382334982,4472.991842637325,0.24721939696600737,0.30175538756442344,2023-01-01
2023.0,2.0,14.5,2144.782142857143,2.957142857142857,10.541051149297544,5852.714302661404,0.2808114674994421,0.3655533420763305,2023-02-01
2023.0,3.0,16.0,2359.7306451612903,4.525806451612904,11.743986508993409,7790.989470244702,0.38531275926813785,0.29990677417494954,2023-03-01
2023.0,4.0,15.5,2817.8635416666666,5.756666666666666,13.028019861622056,9721.00827610543,0.4409159313425391,0.2892769644589952,2023-04-01
2023.0,5.0,16.0,3461.2370967741936,7.229032258064516,14.109539987845341,11050.431809848362,0.5122739785184337,0.31318342814893874,2023-05-01
2023.0,6.0,15.5,4301.4366666666665,9.6,14.653822207724305,11582.944982952517,0.6551580119563013,0.37120888829773935,2023-06-01
2023.0,7.0,16.0,4245.320967741935,9.241935483870968,14.39709394115621,11292.394583301477,0.6420033701367942,0.3761085496195386,2023-07-01
2023.0,8.0,16.0,3681.546774193548,9.019354838709678,13.456584576029455,10188.067681352246,0.6703624959338031,0.36093659094524133,2023-08-01
2023.0,9.0,15.5,3198.6027777777776,6.113333333333333,12.21350704361449,8432.324828742729,0.5004190968376473,0.3795634933605683,2023-09-01
2023.0,10.0,16.0,2194.1822580645157,5.254838709677419,10.932255411872108,6414.155113892544,0.4803196612928535,0.3417627955765451,2023-10-01
2023.0,11.0,15.5,1291.155,4.58,9.860566449503073,4772.888338646696,0.4642473583693273,0.26812878147736613,2023-11-01
2023.0,12.0,16.0,1065.1967741935484,2.3193548387096774,9.343728319050784,4052.135144452065,0.24823578597040594,0.26282234703470514,2023-12-01
2024.0,1.0,16.0,1332.2112903225807,2.4129032258064513,9.635298382334982,4472.991842637325,0.25026312366177406,0.2975447288365723,2024-01-01
2024.0,2.0,15.0,1976.0913793103448,2.9896551724137934,10.560609163325946,5884.129358782272,0.2831682547420441,0.33513596682001123,2024-02-01
2024.0,3.0,6.0,2311.0,4.5,11.359577111152225,7173.649639723324,0.3962130511499627,0.32153005382652905,2024-03-01
